word,num_rows,is_successful
sword,3,SUCCESS
inner,4,SUCCESS
neigh,6,SUCCESS
AROMA,3,SUCCESS
SILLY,4,SUCCESS
urine,5,SUCCESS
shell,4,SUCCESS
UNIFY,6,SUCCESS
large,3,SUCCESS
SWAMI,3,SUCCESS
HORDE,6,FAIL
PLIER,6,SUCCESS
utter,4,SUCCESS
FETID,4,SUCCESS
SMART,3,SUCCESS
extra,4,SUCCESS
SOUND,3,SUCCESS
decay,4,SUCCESS
SMITH,2,SUCCESS
MEDAL,4,SUCCESS
GAMUT,6,FAIL
saute,4,SUCCESS
datum,5,SUCCESS
POOCH,4,SUCCESS
TWANG,4,SUCCESS
false,5,SUCCESS
GIANT,3,SUCCESS
BOUGH,5,SUCCESS
carol,4,SUCCESS
torch,3,SUCCESS
gland,4,SUCCESS
DITCH,4,SUCCESS
amble,4,SUCCESS
CLASP,5,SUCCESS
GROAN,3,SUCCESS
HAVEN,4,SUCCESS
bacon,3,SUCCESS
KNAVE,6,SUCCESS
LEMUR,3,SUCCESS
igloo,5,SUCCESS
GIVER,4,SUCCESS
spiky,4,SUCCESS
MOLAR,5,SUCCESS
GLEAN,5,SUCCESS
odder,6,SUCCESS
waltz,5,SUCCESS
VOMIT,6,SUCCESS
COAST,2,SUCCESS
frill,5,SUCCESS
radar,3,SUCCESS
FEWER,6,SUCCESS
PSALM,4,SUCCESS
prong,4,SUCCESS
siren,4,SUCCESS
SLANG,4,SUCCESS
SHOUT,3,SUCCESS
SLUMP,3,SUCCESS
ruddy,4,SUCCESS
gavel,4,SUCCESS
arose,3,SUCCESS
juicy,5,SUCCESS
INTRO,3,SUCCESS
FLORA,5,SUCCESS
POSIT,3,SUCCESS
plate,2,SUCCESS
UNTIL,4,SUCCESS
CARRY,4,SUCCESS
truly,4,SUCCESS
fatty,4,SUCCESS
SKUNK,5,SUCCESS
BULGE,3,SUCCESS
marsh,3,SUCCESS
MOTOR,4,SUCCESS
YOUNG,4,SUCCESS
tense,3,SUCCESS
chick,4,SUCCESS
BLOND,6,FAIL
SCARY,3,SUCCESS
zebra,5,SUCCESS
POLKA,4,SUCCESS
sonic,4,SUCCESS
squad,4,SUCCESS
FORAY,3,SUCCESS
solid,3,SUCCESS
TERSE,3,SUCCESS
tribe,4,SUCCESS
ethic,3,SUCCESS
waste,6,SUCCESS
SPOIL,3,SUCCESS
blade,4,SUCCESS
ovary,6,FAIL
harsh,5,SUCCESS
geese,4,SUCCESS
DINGY,4,SUCCESS
taunt,6,FAIL
