processed_words,model_name,retry_count,turn_count,success_failure
SIEVE,moonshotai/Kimi-K2-Instruct,2,6,FAIL
horde,moonshotai/Kimi-K2-Instruct,0,4,SUCCESS
rebel,moonshotai/Kimi-K2-Instruct,1,6,SUCCESS
decay,moonshotai/Kimi-K2-Instruct,5,6,SUCCESS
PAPAL,moonshotai/Kimi-K2-Instruct,0,4,SUCCESS
FOYER,moonshotai/Kimi-K2-Instruct,0,6,FAIL
WAGON,moonshotai/Kimi-K2-Instruct,1,6,SUCCESS
gusty,moonshotai/Kimi-K2-Instruct,0,6,SUCCESS
TRIAL,moonshotai/Kimi-K2-Instruct,1,4,SUCCESS
RACER,moonshotai/Kimi-K2-Instruct,1,6,SUCCESS
llama,moonshotai/Kimi-K2-Instruct,4,6,FAIL
LATER,moonshotai/Kimi-K2-Instruct,0,6,FAIL
rabid,moonshotai/Kimi-K2-Instruct,0,3,SUCCESS
FEIGN,moonshotai/Kimi-K2-Instruct,0,4,SUCCESS
sixty,moonshotai/Kimi-K2-Instruct,2,6,SUCCESS
delve,moonshotai/Kimi-K2-Instruct,0,4,SUCCESS
ANIME,moonshotai/Kimi-K2-Instruct,0,4,SUCCESS
COMMA,moonshotai/Kimi-K2-Instruct,3,4,SUCCESS
BADGE,moonshotai/Kimi-K2-Instruct,2,5,SUCCESS
waltz,moonshotai/Kimi-K2-Instruct,5,6,FAIL
comma,moonshotai/Kimi-K2-Instruct,0,5,SUCCESS
smash,moonshotai/Kimi-K2-Instruct,2,6,SUCCESS
kinky,moonshotai/Kimi-K2-Instruct,0,6,FAIL
GENIE,moonshotai/Kimi-K2-Instruct,1,6,FAIL
funky,moonshotai/Kimi-K2-Instruct,1,6,FAIL
proof,moonshotai/Kimi-K2-Instruct,0,3,SUCCESS
WRECK,moonshotai/Kimi-K2-Instruct,8,6,FAIL
qualm,moonshotai/Kimi-K2-Instruct,1,6,FAIL
ROAST,moonshotai/Kimi-K2-Instruct,4,6,FAIL
bongo,moonshotai/Kimi-K2-Instruct,0,5,SUCCESS
CARRY,moonshotai/Kimi-K2-Instruct,0,4,SUCCESS
query,moonshotai/Kimi-K2-Instruct,3,6,FAIL
pizza,moonshotai/Kimi-K2-Instruct,0,6,SUCCESS
SYRUP,moonshotai/Kimi-K2-Instruct,2,6,SUCCESS
CHART,moonshotai/Kimi-K2-Instruct,3,3,SUCCESS
borax,moonshotai/Kimi-K2-Instruct,0,4,SUCCESS
