word,num_rows,is_successful
epoxy,3,SUCCESS
sword,3,SUCCESS
inner,6,SUCCESS
SHEET,5,SUCCESS
BOOZE,6,FAIL
breed,5,SUCCESS
MINIM,4,SUCCESS
AROMA,3,SUCCESS
price,2,SUCCESS
SILLY,6,SUCCESS
shawl,3,SUCCESS
TONIC,3,SUCCESS
moult,6,FAIL
heady,3,SUCCESS
slain,3,SUCCESS
large,2,SUCCESS
MARCH,4,SUCCESS
SWAMI,6,FAIL
foray,3,SUCCESS
mince,6,SUCCESS
pouty,4,SUCCESS
utter,4,SUCCESS
FORTY,3,SUCCESS
FETID,6,FAIL
SMART,4,SUCCESS
holly,6,SUCCESS
ALONG,3,SUCCESS
SOUND,6,FAIL
prawn,4,SUCCESS
papal,5,SUCCESS
foyer,6,FAIL
ADEPT,3,SUCCESS
FROND,4,SUCCESS
ALOOF,5,SUCCESS
cower,6,SUCCESS
SWEAT,3,SUCCESS
GAMUT,3,SUCCESS
incur,4,SUCCESS
scale,2,SUCCESS
saute,5,SUCCESS
SNORE,4,SUCCESS
datum,3,SUCCESS
WAGON,3,SUCCESS
tread,4,SUCCESS
TROUT,4,SUCCESS
TWANG,4,SUCCESS
blink,3,SUCCESS
frame,5,SUCCESS
REFIT,4,SUCCESS
dryly,4,SUCCESS
blimp,5,SUCCESS
GIANT,4,SUCCESS
SONAR,3,SUCCESS
GUSTY,4,SUCCESS
BOUGH,3,SUCCESS
carol,4,SUCCESS
STUCK,4,SUCCESS
RHYME,4,SUCCESS
ABBOT,3,SUCCESS
trial,3,SUCCESS
gland,4,SUCCESS
EVICT,4,SUCCESS
tubal,4,SUCCESS
CLASP,3,SUCCESS
check,6,FAIL
guess,4,SUCCESS
ORDER,3,SUCCESS
donut,3,SUCCESS
RABID,5,SUCCESS
PHONE,3,SUCCESS
retro,4,SUCCESS
GROAN,3,SUCCESS
BIRCH,4,SUCCESS
VOUCH,4,SUCCESS
cramp,4,SUCCESS
HAVEN,5,SUCCESS
FIGHT,4,SUCCESS
laugh,5,SUCCESS
genre,3,SUCCESS
YACHT,4,SUCCESS
bacon,3,SUCCESS
REBUS,6,SUCCESS
spray,5,SUCCESS
KNAVE,3,SUCCESS
LEMUR,5,SUCCESS
decal,3,SUCCESS
tardy,6,SUCCESS
igloo,4,SUCCESS
feign,5,SUCCESS
SIXTY,5,SUCCESS
DELVE,6,SUCCESS
ANIME,5,SUCCESS
spiky,4,SUCCESS
MOLAR,2,SUCCESS
odder,6,FAIL
racer,4,SUCCESS
PINTO,3,SUCCESS
DODGY,5,SUCCESS
CONIC,3,SUCCESS
glove,5,SUCCESS
OLIVE,4,SUCCESS
VOMIT,4,SUCCESS
COMMA,3,SUCCESS
tutor,4,SUCCESS
SWASH,4,SUCCESS
goose,5,SUCCESS
cough,5,SUCCESS
BRISK,4,SUCCESS
WACKY,4,SUCCESS
BRAVE,2,SUCCESS
ROYAL,4,SUCCESS
twirl,5,SUCCESS
PURGE,3,SUCCESS
radar,3,SUCCESS
FEWER,6,SUCCESS
biddy,5,SUCCESS
FLASH,6,SUCCESS
prong,3,SUCCESS
SLANG,5,SUCCESS
CANON,6,SUCCESS
GNOME,4,SUCCESS
phony,3,SUCCESS
LEANT,4,SUCCESS
conch,6,FAIL
CHORD,3,SUCCESS
USUAL,6,SUCCESS
