processed_words,model_name,retry_count,turn_count,success_failure
regur,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,6,6,FAIL
inerm,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,3,6,FAIL
lunet,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,4,6,FAIL
gonks,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,0,6,FAIL
porky,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,4,6,SUCCESS
dicto,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,3,5,SUCCESS
temse,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,1,6,FAIL
tipup,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,7,6,FAIL
firry,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,8,6,FAIL
cured,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,1,6,FAIL
grith,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,1,5,SUCCESS
nills,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,1,6,FAIL
apsos,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,10,6,FAIL
henny,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,2,6,FAIL
lipos,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,0,6,FAIL
jhala,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,5,6,FAIL
tarty,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,1,6,FAIL
lapis,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,3,6,FAIL
rangi,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,7,6,SUCCESS
geats,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,0,6,FAIL
scoup,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,0,6,FAIL
retia,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,4,6,FAIL
grens,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,4,6,FAIL
easle,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,3,6,FAIL
noois,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,6,6,FAIL
kuias,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,6,6,FAIL
tiars,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,12,6,FAIL
heaps,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,0,3,SUCCESS
atoks,/mnt/ssd2/shreyansh/models/llama32/exp_2025-08-21T16:07:26_llama32_3b_fsdp_attn_fsdp2_torch_compile_dcp_kimi_k2_v2_sft/epoch_5/merged_hf,3,6,FAIL
