processed_words,model_name,retry_count,turn_count,success_failure
regur,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,8,6,FAIL
inerm,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,0,6,FAIL
lunet,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,13,6,FAIL
gonks,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,6,6,FAIL
porky,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,0,5,SUCCESS
dicto,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,6,6,FAIL
temse,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,14,6,FAIL
tipup,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,12,6,FAIL
firry,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,11,6,FAIL
cured,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,0,2,SUCCESS
grith,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,1,5,SUCCESS
nills,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,4,6,FAIL
apsos,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,11,6,FAIL
henny,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,3,5,SUCCESS
lipos,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,7,6,FAIL
jhala,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,10,6,FAIL
tarty,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,3,6,FAIL
lapis,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,0,5,SUCCESS
rangi,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,10,6,FAIL
geats,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,0,6,FAIL
scoup,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,1,6,FAIL
retia,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,0,4,SUCCESS
grens,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,8,6,FAIL
easle,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,0,6,FAIL
noois,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,9,6,FAIL
kuias,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,9,6,FAIL
tiars,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,1,6,FAIL
heaps,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,0,3,SUCCESS
atoks,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,0,6,FAIL
caver,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,0,6,SUCCESS
yayas,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,12,6,FAIL
mhorr,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,2,6,FAIL
notum,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,16,6,FAIL
riqqs,/mnt/ssd2/shreyansh/models/llama32/exp_2025-09-04T10:36:46_llama32_3b_flash_attn_fsdp2_torch_compile_dcp_deepseek_r1_sft/epoch_5/step_final,10,6,FAIL
