processed_words,model_name,retry_count,turn_count,success_failure
ABACK,openai/gpt-oss-120b,0,4,SUCCESS
abase,openai/gpt-oss-120b,0,5,SUCCESS
abate,openai/gpt-oss-120b,0,5,SUCCESS
ABBEY,openai/gpt-oss-120b,1,4,SUCCESS
ABBOT,openai/gpt-oss-120b,1,3,SUCCESS
abhor,openai/gpt-oss-120b,0,4,SUCCESS
ABIDE,openai/gpt-oss-120b,0,4,SUCCESS
abled,openai/gpt-oss-120b,0,5,SUCCESS
abode,openai/gpt-oss-120b,1,5,SUCCESS
ABORT,openai/gpt-oss-120b,3,4,SUCCESS
about,openai/gpt-oss-120b,0,3,SUCCESS
above,openai/gpt-oss-120b,0,4,SUCCESS
ABUSE,openai/gpt-oss-120b,0,4,SUCCESS
ABYSS,openai/gpt-oss-120b,0,3,SUCCESS
ACORN,openai/gpt-oss-120b,0,3,SUCCESS
ACRID,openai/gpt-oss-120b,0,3,SUCCESS
ACTOR,openai/gpt-oss-120b,0,4,SUCCESS
acute,openai/gpt-oss-120b,0,2,SUCCESS
adage,openai/gpt-oss-120b,0,5,SUCCESS
ADAPT,openai/gpt-oss-120b,0,3,SUCCESS
ADEPT,openai/gpt-oss-120b,0,3,SUCCESS
admin,openai/gpt-oss-120b,4,6,FAIL
ADMIT,openai/gpt-oss-120b,0,3,SUCCESS
ADOBE,openai/gpt-oss-120b,1,4,SUCCESS
ADOPT,openai/gpt-oss-120b,0,4,SUCCESS
adore,openai/gpt-oss-120b,0,4,SUCCESS
ADORN,openai/gpt-oss-120b,5,6,SUCCESS
adult,openai/gpt-oss-120b,2,5,SUCCESS
AFFIX,openai/gpt-oss-120b,0,5,SUCCESS
afire,openai/gpt-oss-120b,0,3,SUCCESS
afoot,openai/gpt-oss-120b,1,4,SUCCESS
afoul,openai/gpt-oss-120b,0,5,SUCCESS
after,openai/gpt-oss-120b,0,4,SUCCESS
AGAIN,openai/gpt-oss-120b,0,3,SUCCESS
AGAPE,openai/gpt-oss-120b,0,5,SUCCESS
AGATE,openai/gpt-oss-120b,0,4,SUCCESS
AGENT,openai/gpt-oss-120b,0,3,SUCCESS
agile,openai/gpt-oss-120b,1,3,SUCCESS
AGING,openai/gpt-oss-120b,0,5,SUCCESS
aglow,openai/gpt-oss-120b,1,3,SUCCESS
agony,openai/gpt-oss-120b,0,5,SUCCESS
AGREE,openai/gpt-oss-120b,0,4,SUCCESS
ahead,openai/gpt-oss-120b,0,3,SUCCESS
AIDER,openai/gpt-oss-120b,0,4,SUCCESS
AISLE,openai/gpt-oss-120b,0,4,SUCCESS
ALARM,openai/gpt-oss-120b,0,3,SUCCESS
album,openai/gpt-oss-120b,0,3,SUCCESS
alert,openai/gpt-oss-120b,0,3,SUCCESS
algae,openai/gpt-oss-120b,0,5,SUCCESS
ALIBI,openai/gpt-oss-120b,0,4,SUCCESS
alien,openai/gpt-oss-120b,0,4,SUCCESS
align,openai/gpt-oss-120b,3,5,SUCCESS
alike,openai/gpt-oss-120b,0,4,SUCCESS
ALIVE,openai/gpt-oss-120b,0,5,SUCCESS
ALLAY,openai/gpt-oss-120b,0,3,SUCCESS
alley,openai/gpt-oss-120b,0,6,SUCCESS
ALLOT,openai/gpt-oss-120b,0,4,SUCCESS
ALLOW,openai/gpt-oss-120b,0,4,SUCCESS
alloy,openai/gpt-oss-120b,0,3,SUCCESS
ALOFT,openai/gpt-oss-120b,2,3,SUCCESS
alone,openai/gpt-oss-120b,0,3,SUCCESS
ALONG,openai/gpt-oss-120b,0,3,SUCCESS
ALOOF,openai/gpt-oss-120b,0,5,SUCCESS
aloud,openai/gpt-oss-120b,1,5,SUCCESS
alpha,openai/gpt-oss-120b,0,5,SUCCESS
ALTAR,openai/gpt-oss-120b,2,4,SUCCESS
ALTER,openai/gpt-oss-120b,0,6,FAIL
AMASS,openai/gpt-oss-120b,0,3,SUCCESS
amaze,openai/gpt-oss-120b,0,5,SUCCESS
AMBER,openai/gpt-oss-120b,0,5,SUCCESS
AMBLE,openai/gpt-oss-120b,1,4,SUCCESS
AMEND,openai/gpt-oss-120b,0,3,SUCCESS
amiss,openai/gpt-oss-120b,0,3,SUCCESS
AMITY,openai/gpt-oss-120b,0,4,SUCCESS
among,openai/gpt-oss-120b,0,5,SUCCESS
AMPLE,openai/gpt-oss-120b,0,3,SUCCESS
amply,openai/gpt-oss-120b,0,3,SUCCESS
amuse,openai/gpt-oss-120b,0,3,SUCCESS
angel,openai/gpt-oss-120b,0,6,FAIL
ANGER,openai/gpt-oss-120b,0,5,SUCCESS
ANGLE,openai/gpt-oss-120b,0,3,SUCCESS
angry,openai/gpt-oss-120b,0,4,SUCCESS
ANGST,openai/gpt-oss-120b,0,4,SUCCESS
ANIME,openai/gpt-oss-120b,0,5,SUCCESS
ankle,openai/gpt-oss-120b,0,4,SUCCESS
annex,openai/gpt-oss-120b,0,6,SUCCESS
annoy,openai/gpt-oss-120b,0,3,SUCCESS
ANNUL,openai/gpt-oss-120b,0,3,SUCCESS
ANODE,openai/gpt-oss-120b,0,2,SUCCESS
antic,openai/gpt-oss-120b,0,4,SUCCESS
anvil,openai/gpt-oss-120b,0,3,SUCCESS
AORTA,openai/gpt-oss-120b,0,4,SUCCESS
APART,openai/gpt-oss-120b,0,3,SUCCESS
aphid,openai/gpt-oss-120b,0,5,SUCCESS
APING,openai/gpt-oss-120b,1,4,SUCCESS
apnea,openai/gpt-oss-120b,0,5,SUCCESS
APPLE,openai/gpt-oss-120b,0,4,SUCCESS
apply,openai/gpt-oss-120b,0,4,SUCCESS
apron,openai/gpt-oss-120b,2,4,SUCCESS
APTLY,openai/gpt-oss-120b,1,4,SUCCESS
ARBOR,openai/gpt-oss-120b,5,4,SUCCESS
ARDOR,openai/gpt-oss-120b,0,5,SUCCESS
ARENA,openai/gpt-oss-120b,0,2,SUCCESS
argue,openai/gpt-oss-120b,0,3,SUCCESS
arise,openai/gpt-oss-120b,0,2,SUCCESS
ARMOR,openai/gpt-oss-120b,0,6,SUCCESS
AROMA,openai/gpt-oss-120b,1,3,SUCCESS
AROSE,openai/gpt-oss-120b,0,3,SUCCESS
array,openai/gpt-oss-120b,0,3,SUCCESS
arrow,openai/gpt-oss-120b,0,3,SUCCESS
arson,openai/gpt-oss-120b,0,2,SUCCESS
ARTSY,openai/gpt-oss-120b,0,4,SUCCESS
ascot,openai/gpt-oss-120b,0,4,SUCCESS
ASHEN,openai/gpt-oss-120b,0,4,SUCCESS
ASIDE,openai/gpt-oss-120b,0,4,SUCCESS
askew,openai/gpt-oss-120b,0,4,SUCCESS
assay,openai/gpt-oss-120b,0,3,SUCCESS
ASSET,openai/gpt-oss-120b,0,4,SUCCESS
atoll,openai/gpt-oss-120b,0,3,SUCCESS
ATONE,openai/gpt-oss-120b,0,2,SUCCESS
attic,openai/gpt-oss-120b,1,3,SUCCESS
AUDIO,openai/gpt-oss-120b,0,3,SUCCESS
AUDIT,openai/gpt-oss-120b,0,4,SUCCESS
AUGUR,openai/gpt-oss-120b,0,4,SUCCESS
aunty,openai/gpt-oss-120b,0,4,SUCCESS
avail,openai/gpt-oss-120b,0,4,SUCCESS
avert,openai/gpt-oss-120b,0,5,SUCCESS
avian,openai/gpt-oss-120b,0,4,SUCCESS
AVOID,openai/gpt-oss-120b,0,4,SUCCESS
AWAIT,openai/gpt-oss-120b,0,4,SUCCESS
AWAKE,openai/gpt-oss-120b,0,5,SUCCESS
